        Deg.          Ve          P1          P2      dmr/dt      dm1/dt      dm2/dt         Cv1         Cv2       P1-P2
         162      69.304       1.823       1.753       4.210       1.205       0.000       0.053       0.000       0.070
         164      70.457       1.813       1.746       4.010       1.025       0.000       0.044       0.000       0.067
         165      71.598       1.802       1.738       3.810       0.849       0.000       0.036       0.000       0.063
         167      72.724       1.791       1.731       3.610       0.679       0.000       0.028       0.000       0.060
         168      73.836       1.780       1.723       3.412       0.517       0.000       0.021       0.000       0.057
         169      74.933       1.769       1.715       3.219       0.367       0.000       0.014       0.000       0.054
         171      76.014       1.758       1.707       3.032       0.231       0.000       0.008       0.000       0.051
         172      77.079       1.747       1.699       2.856       0.115       0.000       0.004       0.000       0.048
         174      78.127       1.736       1.692       2.693       0.028       0.000       0.001       0.000       0.045
         175      79.157       1.726       1.684       2.555       0.000       0.000       0.000       0.000       0.043
         177      80.168       1.717       1.676       2.449       0.000       0.000       0.000       0.000       0.041
         178      81.161       1.708       1.668       2.362       0.000       0.000       0.000       0.000       0.039
         180      82.134       1.699       1.661       2.285       0.000       0.000       0.000       0.000       0.038
         181      83.086       1.690       1.654       2.200       0.000       0.062       0.000       0.003       0.037
         182      84.018       1.681       1.647       2.082       0.000       0.189       0.000       0.007       0.035
         184      84.928       1.672       1.640       1.929       0.000       0.353       0.000       0.012       0.032
         185      85.816       1.662       1.633       1.745       0.000       0.543       0.000       0.018       0.029
         187      86.681       1.651       1.626       1.536       0.000       0.756       0.000       0.025       0.026
         188      87.524       1.641       1.619       1.305       0.000       0.985       0.000       0.033       0.022
         190      88.342       1.629       1.612       1.056       0.000       1.229       0.000       0.041       0.018
         191      89.137       1.618       1.604       0.793       0.000       1.484       0.000       0.050       0.013
         193      89.906       1.606       1.597       0.517       0.000       1.749       0.000       0.059       0.009
         194      90.651       1.593       1.589       0.232       0.000       2.021       0.000       0.069       0.004
         195      91.369       1.581       1.582      -0.062       0.000       2.299       0.000       0.079      -0.001
         197      92.062       1.568       1.574      -0.362       0.000       2.581       0.000       0.089      -0.006
         198      92.728       1.554       1.566      -0.666       0.000       2.866       0.000       0.100      -0.011
         200      93.367       1.541       1.557      -0.974       0.000       3.153       0.000       0.111      -0.016
         201      93.979       1.527       1.549      -1.284       0.000       3.439       0.000       0.122      -0.021
         203      94.563       1.513       1.540      -1.595       0.000       3.725       0.000       0.133      -0.027
         204      95.119       1.499       1.531      -1.906       0.000       4.009       0.000       0.145      -0.032
         205      95.646       1.485       1.522      -2.215       0.000       4.290       0.000       0.157      -0.037
         207      96.144       1.470       1.512      -2.523       0.000       4.568       0.000       0.169      -0.042
         208      96.613       1.455       1.503      -2.827       0.000       4.841       0.000       0.181      -0.047
         210      97.053       1.441       1.493      -3.128       0.000       5.109       0.000       0.194      -0.052
         211      97.463       1.426       1.483      -3.423       0.000       5.370       0.000       0.206      -0.057
         213      97.844       1.411       1.473      -3.714       0.000       5.626       0.000       0.219      -0.062
         214      98.193       1.396       1.462      -3.998       0.000       5.874       0.000       0.232      -0.067
         216      98.513       1.381       1.452      -4.276       0.000       6.114       0.000       0.245      -0.071
         217      98.802       1.365       1.441      -4.546       0.000       6.346       0.000       0.258      -0.076
